stop_id;stop_name;stop_lat;stop_lon;stop_code;location_type;parent_station;wheelchair_boarding;stop_direction
002133;ors vezer tere M+H, deli taroloter;47.500366;19.135700;002133;;CS003106;2;
002136;Fogas uzem (kapu);47.509119;19.014403;;;;;
002138;Kobanya also vasutallomas;47.483354;19.127803;002138;;CSF01800;2;
003002;Puskas Ferenc Stadion M;47.500368;19.103406;003002;;CS008132;2;
003105;Becsi ut / Vorosvari ut;47.548817;19.029722;003105;;CSF00571;2;
003106;ors vezer tere M+H, eszaki tarolo;47.505160;19.136637;003106;;CS003106;2;
003118;obuda, Bogdani ut;47.551471;19.041971;003118;;CS003118;2;
004716;eD metro jarmutelep,porta;47.469651;19.129090;;;;2;
004948;Metro eD jarmutelep (kapu);47.465239;19.142612;;;;;
004952;Metro KNY jarmutelep (kapu);47.502234;19.132179;;;;;
005815;ujpest-Varoskapu M;47.559251;19.078625;005815;;CS005815;2;
005924;Mill.FAV jarmutelep (kapu);47.518788;19.093168;;;;;
006390;Cinkota kocsiszin (kapu);47.519345;19.217072;006390;;CSF03304;;
007177;Csepel kocsiszin (kapu);47.421498;19.066247;007177;;CS007177;;
007675;Dunaharaszti kulso kocsiszin (kapu);47.362751;19.088475;;;;;
007762;Szentendre kocsiszin (kapu);47.658755;19.072392;007762;;CS009119;;
007817;Marta utca;47.428685;18.929674;;;;2;49
007877;Birosag;47.519564;18.978068;007877;;CS007877;2;-78
007878;Birosag;47.519456;18.978041;007878;;CS007877;2;101
007879;Romai uti lakotelep, Varsa utca;47.570863;19.058543;;;;2;93
007880;Becsi ut / Vorosvari ut;47.547647;19.028766;007880;;CSF00571;2;
007881;Varadi utca;47.543771;19.030123;007881;;CSF00591;2;-10
007882;Varadi utca;47.542691;19.029977;007882;;CSF00591;2;168
007883;Perenyi ut;47.545812;19.029591;;;;2;-8
007884;Deak Ferenc ter M;47.497413;19.055158;007884;;CS038717;1;
007887;Mester utca / Ferenc korut;47.482246;19.068716;007887;;CSF01380;2;15
007888;Mester utca / Ferenc korut;47.482570;19.068477;007888;;CSF01380;2;-163
007890;Mester utca / Ferenc korut;47.481671;19.068782;007890;;CSF01380;2;
007897;Kelenfold vasutallomas M;47.464597;19.022948;007897;;CS007967;2;98
007899;Kelenfold vasutallomas M;47.464744;19.022994;007899;;CS007967;2;
007900;Maros utcai rendelointezet;47.503728;19.022391;;;;2;143
007902;ujpest-Varoskapu M;47.558600;19.078220;007902;;CS005815;2;
007913;526. sor;47.479281;19.211332;007913;;CS007914;2;118
007914;526. sor;47.479300;19.211468;007914;;CS007914;2;-58
007919;Polus Center;47.552619;19.143665;;;;2;-100
007923;Kele utca;47.431808;19.173804;;;;1;29
007924;ultetveny utca;47.396915;19.175497;007924;;CS007924;2;44
007927;Ferihegy vasutallomas;47.438405;19.222663;007927;;CS007927;2;-43
007928;Ferihegy vasutallomas;47.437693;19.223443;007928;;CS007927;2;134
007930;Savoyai Jeno ter (Torley ter);47.430374;19.036286;007930;;CS007930;1;
007931;Savoyai Jeno ter (Torley ter);47.430374;19.036551;007931;;CS007930;1;-93
007949;Kocsis Sandor ut;47.574316;19.013288;;;;1;-130
007950;Keleti palyaudvar M;47.501104;19.082712;007950;;CSF01132;1;
007967;Kelenfold vasutallomas M;47.465750;19.021836;007967;;CS007967;1;
007968;Mogyorod utja;47.570602;19.128267;;;;1;38
007972;Huvosvolgy;47.543166;18.964394;007972;;CS007976;2;
007973;Huvosvolgy;47.542923;18.964567;007973;;CS007976;2;153
007974;Huvosvolgy;47.542635;18.964753;007974;;CS007976;2;
007975;Huvosvolgy;47.543243;18.964281;007975;;CS007976;2;
007976;Huvosvolgy;47.543264;18.963995;007976;;CS007976;2;
007977;Huvosvolgy;47.542968;18.964195;007977;;CS007976;2;
007978;Huvosvolgy;47.542707;18.964355;007978;;CS007976;2;
007979;Vorosmarty utca M;47.507468;19.066509;007979;;CSF01090;2;-132
007980;Vorosmarty utca M;47.507444;19.066767;007980;;CSF01090;2;45
007995;Jokai Mor utca;47.410717;19.020681;007995;;CS007995;2;-31
007996;Budateteny vasutallomas (Campona);47.405724;19.013796;007996;;CS007997;1;
